text,label,length,Word_Count
description said yum yum sauce another said eel sauce yet another said spicy mayo well none roll sauce,0,24,18
say would hardest decision honestly dish taste supposed taste amazing,1,21,10
rolled eye may stayed sure go back try,0,22,8
everyone attentive providing excellent customer service,1,8,6
horrible waste time money,0,8,4
time side restaurant almost empty excuse,0,16,6
busy either also building freezing cold,0,10,6
like reviewer said pay eat place,0,15,6
drink took close minute come one point,0,12,7
seriously flavorful delight folk,1,4,4
much better ayce sushi place went vega,1,13,7
lighting dark enough set mood,1,10,5
based sub par service received effort show gratitude business going back,0,22,11
owner really great people,1,5,4
nothing privileged working eating,0,7,4
greek dressing creamy flavorful,1,8,4
overall think would take parent place made similar complaint silently felt,0,27,11
pizza good peanut sauce tasty,1,12,5
table service pretty fast,1,12,4
well would given godfather zero star possible,0,10,7
hope place stick around,1,6,4
bar vega ever recall charged tap water,0,21,7
good service clean inexpensive boot,1,8,5
seafood fresh generous portion,1,8,4
thus far visited twice food absolutely delicious time,1,14,8
self proclaimed coffee cafe wildly disappointed,0,10,6
cant go wrong food,1,10,4
stopped place madison ironman friendly kind staff,1,14,7
chef friendly good job,1,9,4
better dedicated boba tea spot even jenni pho,0,15,8
liked patio service outstanding,1,9,4
goat taco skimp meat wow flavor,1,12,6
mac salad pretty bland getting,0,18,5
went bachi burger friend recommendation disappointed,1,13,6
place quality sushi quality restaurant,0,12,5
would definitely recommend wing well pizza,1,11,6
thing went wrong burned saganaki,0,9,5
waited hour breakfast could done time better home,0,18,8
hate disagree fellow yelpers husband disappointed place,0,19,7
waited hour never got either pizza many around u came later,0,20,11
staff great food delish incredible beer selection,1,15,7
live neighborhood disappointed back convenient location,0,20,6
know pulled pork could soooo delicious,1,9,6
get incredibly fresh fish prepared care,1,8,6
go gave star rating please know third time eating bachi burger writing review,0,28,13
love fact everything menu worth,1,12,5
food excellent service good,1,9,4
good beer drink selection good food selection,1,9,7
please stay away shrimp stir fried noodle,0,9,7
potato chip order sad could probably count many chip box probably around,0,23,12
greedy corporation never see another dime,0,10,6
never ever go back,0,5,4
much like go back get passed atrocious service never return,0,19,10
summer dine charming outdoor patio delightful,1,15,6
ordered toasted english muffin came untoasted,0,10,6
great food price high quality house made,1,13,7
bus boy hand rude,0,10,4
point friend basically figured place joke mind making publicly loudly known,0,25,11
back good bbq lighter fare reasonable pricing tell public back old way,1,19,12
considering two u left full happy go wrong,1,20,8
also fry without doubt worst fry ever,0,13,7
service exceptional food good review,1,12,5
couple month later returned amazing meal,1,12,6
favorite place town shawarrrrrrma,1,6,4
black eyed pea sweet potato unreal,1,8,6
could serve vinaigrette may make better overall dish still good,1,23,10
go far many place never seen restaurant serf egg breakfast especially,0,22,11
mom got home immediately got sick bite salad,0,20,8
server pleasant deal always honor pizza hut coupon,0,16,8
truly unbelievably good glad went back,1,15,6
fantastic service pleased atmosphere,1,10,4
first bathroom location dirty seat cover replenished plain yucky,0,18,9
burger got gold standard burger kind disappointed,0,15,7
spaghetti nothing special whatsoever,0,6,4
dish salmon best great,1,13,4
vegetable fresh sauce feel like authentic thai,1,12,7
selection probably worst seen vega none,0,12,6
pretty good beer selection,1,5,4
place like chipotle better,1,7,4
classy warm atmosphere fun fresh appetizer succulent steak baseball steak,1,10,10
star brick oven bread app,1,8,5
eaten multiple time time food delicious,1,13,6
sat another ten minute finally gave left,0,11,7
everyone treated equally special,1,5,4
take min pancake egg,0,9,4
good side staff genuinely pleasant enthusiastic real treat,1,15,8
sadly gordon ramsey steak place shall sharply avoid next trip vega,0,17,11
always evening wonderful food delicious,1,10,5
best fish ever life,1,8,4
bathroom next door nice,1,9,4
buffet small food offered bland,0,12,5
outstanding little restaurant best food ever tasted,1,16,7
pretty cool would say,1,5,4
definitely turn doubt back unless someone else buying,0,17,8
server great job handling large rowdy table,1,10,7
find wasting food despicable food,0,12,5
wife lobster bisque soup lukewarm,0,10,5
would come back sushi craving vega,1,13,6
staff great ambiance great,1,8,4
left stomach ache felt sick rest day,0,14,7
dining space tiny elegantly decorated comfortable,1,10,6
customize order way like usual eggplant green bean stir fry love,1,20,11
bean rice mediocre best,0,9,4
best taco town far,1,6,4
took back money got outta,0,9,5
interesting part town place amazing,1,10,5
staff friendly wait time served horrible one even say hi first minute,0,25,12
service outshining definitely recommend halibut,1,10,5
never ever go back told many people happened,0,13,8
recommend unless car break front starving,0,16,6
come back every time vega,1,10,5
place deserves one star food,0,13,5
def coming back bowl next time,1,7,6
want healthy authentic ethic food try place,1,11,7
continue come lady night andddd date night highly recommend place anyone area,1,25,12
several time past experience always great,1,16,6
walked away stuffed happy first vega buffet experience,1,12,8
service excellent price pretty reasonable considering vega located inside crystal shopping mall aria,1,21,13
summarize food incredible nay transcendant nothing brings joy quite like memory pneumatic condiment dispenser,1,22,14
probably one people ever go ians like,0,16,7
kid pizza always hit lot great side dish option kiddos,1,17,10
service perfect family atmosphere nice see,1,11,6
cooked perfection service impeccable,1,8,4
overall disappointed quality food bouchon,0,12,5
accountant know getting screwed,0,12,4
great place eat reminds little mom pop shop san francisco bay area,1,19,12
today first taste buldogis gourmet hot dog tell ever thought possible,1,25,11
food really good got full petty fast,1,10,7
know kind best iced tea,1,14,5
come hungry leave happy stuffed,1,6,5
take little bad service food suck,0,11,6
gave trying eat crust teeth still sore,0,12,7
first time going think quickly become regular,1,12,7
server nice even though looked little overwhelmed need stayed professional friendly end,1,26,12
dinner companion told everything fresh nice texture taste,1,15,8
ground right next table large smeared stepped tracked everywhere pile green bird poop,0,18,13
furthermore even find hour operation website,0,11,6
tried like place time think done,0,16,6
seriously good pizza expert connisseur topic,1,13,6
nicest restaurant owner ever come across,1,10,6
ordered appetizer took minute pizza another minute,0,14,7
huge awkward lb piece cow th gristle fat,0,15,8
like steiner dark feel like bar,1,12,6
take business dinner dollar elsewhere,0,7,5
anyway f restaurant wonderful breakfast lunch,1,8,6
day week different deal delicious,1,15,5
mention combination pear almond bacon big winner,1,14,7
food delicious spicy enough sure ask spicier prefer way,1,21,9
ribeye steak cooked perfectly great mesquite flavor,1,11,7
think going back anytime soon,0,9,5
far sushi connoisseur definitely tell difference good food bad food certainly bad food,0,26,13
last time lunch bad,0,11,4
chicken wing contained driest chicken meat ever eaten,0,12,8
food good enjoyed every mouthful enjoyable relaxed venue couple small family group etc,1,20,13
best tater tot southwest,1,6,4
vanilla ice cream creamy smooth profiterole chou pastry fresh enough,1,16,10
im az time new spot,1,12,5
inside really quite nice clean,1,9,5
food outstanding price reasonable,1,10,4
think running back carly anytime soon food,0,13,7
due fact took minute acknowledged another minute get food kept forgetting thing,0,27,12
first vega buffet disappoint,1,13,4
one note ventilation could use upgrading,0,11,6
total letdown would much rather go camelback flower shop cartel coffee,0,16,11
third cheese friend burger cold,0,9,5
steak well trimmed also perfectly cooked,1,10,6
group claimed would handled u beautifully,1,19,6
asked bill leave without eating bring either,0,15,7
place jewel la vega exactly hoping find nearly ten year living,1,22,11
seafood limited boiled shrimp crab leg crab leg definitely taste fresh,0,18,11
small family restaurant fine dining establishment,1,12,6
toro tartare cavier extraordinary liked thinly sliced wagyu white truffle,1,21,10
dont think back long time,0,12,5
attached gas station rarely good sign,0,14,6
back many time soon,1,7,4
menu much good stuff could decide,1,13,6
worse humiliated worker right front bunch horrible name calling,0,16,9
daily special always hit group,1,10,5
pancake also really good pretty large,1,11,6
first crawfish experience delicious,1,10,4
monster chicken fried steak egg time favorite,1,12,7
also taste mom multi grain pumpkin pancake pecan butter amazing fluffy delicious,1,20,12
rather eat airline food seriously,0,6,5
cant say enough good thing place,1,8,6
much pasta love homemade hand made pasta thin pizza,1,17,9
far best cheesecurds ever,1,9,4
food good typical bar food,1,10,5
first glance lovely bakery cafe nice ambiance clean friendly staff,1,15,10
anyway think go back,0,10,4
point finger item menu order disappointed,1,16,6
oh thing beauty restaurant,1,10,4
first time might last,0,9,4
similarly delivery man say word apology food minute late,0,18,9
sure order dessert even need pack go tiramisu cannoli die,1,23,10
first time wait next,1,12,4
place two thumb way,1,7,4
best place vega breakfast check sat sun,1,14,7
love authentic mexican food want whole bunch interesting yet delicious meat choose need try place,1,25,15
excellent new restaurant experienced frenchman,1,8,5
zero star would give zero star,0,11,6
great steak great side great wine amazing dessert,1,8,8
steak shrimp opinion best entree gc,1,14,6
opportunity today sample amazing pizza,1,10,5
waited thirty minute seated although vacant table folk waiting,0,21,9
yellowtail carpaccio melt mouth fresh,1,9,5
try going back even empty,0,10,5
going eat potato found stranger hair,0,15,6
spicy enough perfect actually,1,5,4
last night second time dining happy decided go back,1,18,9
boyfriend came first time recent trip vega could pleased quality food service,1,30,12
really recommend place go wrong donut place,1,14,7
would recommend saving room,1,7,4
guess maybe went night disgraceful,0,13,5
however recent experience particular location good,0,12,6
know like restaurant something,0,16,4
think restaurant suffers trying hard enough,0,10,6
salad bland vinegrette baby green heart palm,0,14,7
believe place great stop huge belly hankering sushi,1,19,8
generous portion great taste,1,5,4
never go back place never ever recommended place anyone,0,17,9
server went back forth several time even much helped,0,18,9
eew location need complete overhaul,0,7,5
recently witnessed poor quality management towards guest well,0,13,8
also came back check u regularly excellent service,1,11,8
server super nice checked u many time,1,11,7
pizza tasted old super chewy good way,0,11,7
swung give try deeply disappointed,0,12,5
service good company better,1,8,4
staff also friendly efficient,1,8,4
service fan quick served nice folk,1,18,6
look authentic thai food go else,0,10,6
pulled car waited another minute acknowledged,0,15,6
great food great service clean friendly setting,1,11,7
hate thing much cheap quality black olive,0,11,7
breakfast perpared great beautiful presentation giant slice toast lightly dusted powdered sugar,1,20,12
kid play area nasty,0,6,4
great place fo take eat,1,8,5
waitress friendly happy accomodate vegan veggie option,1,11,7
omg felt like never eaten thai food dish,1,13,8
extremely crumby pretty tasteless,0,7,4
pale color instead nice char flavor,0,14,6
crouton also taste homemade extra plus,1,10,6
got home see driest damn wing ever,0,10,7
regular stop trip phoenix,1,10,4
really enjoyed crema caf expanded even told friend best breakfast,1,17,10
miss wish one philadelphia,1,10,4
got sitting fairly fast ended waiting minute place order another minute food arrived,0,23,13
also best cheese crisp town,1,9,5
good value great food great service,1,6,6
made drive way north scottsdale one bit disappointed,1,17,8
owner really really need quit soooooo cheap let wrap freaking sandwich two paper one,0,21,14
checked place couple year ago impressed,0,13,6
chicken got definitely reheated ok wedge cold soggy,0,17,8
sorry getting food anytime soon,0,12,5
cow tongue cheek taco amazing,1,8,5
friend like bloody mary,0,8,4
despite hard rate business actually rare give star,0,16,8
really want make experience good one,1,10,6
chicken pho tasted bland,0,10,4
grilled chicken tender yellow saffron seasoning,1,12,6
drive thru mean want wait around half hour food somehow end going make u wait wait,0,32,16
best luck rude non customer service focused new management,0,12,9
grandmother make roasted chicken better one,0,11,6
asked multiple time wine list time ignored went hostess got one,0,24,11
staff always super friendly helpful especially cool bring two small boy baby,1,21,12
four star food guy blue shirt great vibe still letting u eat,1,24,12
roast beef sandwich tasted really good,1,7,6
high quality chicken chicken caesar salad,1,7,6
ordered burger rare came done,0,7,5
tried go lunch madhouse,0,11,4
proven dead wrong sushi bar quality great service fast food impeccable,1,25,11
waiting hour seated greatest mood,0,15,5
waiter attentive friendly informative,1,8,4
maybe cold would somewhat edible,0,11,5
place lot promise fails deliver,0,11,5
going back anytime soon,0,7,4
disappointed ordered big bay plater,0,9,5
great place relax awesome burger beer,1,11,6
perfect sit family meal get together friend,1,15,7
much flavor poorly constructed,0,9,4
fried rice dry well,0,7,4
hand favorite italian restaurant,1,6,4
scream legit book somethat also pretty rare vega,1,13,8
atmosphere great lovely duo violinist playing song requested,1,14,8
personally love hummus pita baklava falafel baba ganoush amazing eggplant,1,18,10
convenient since staying mgm,1,9,4
owner super friendly staff courteous,1,10,5
sweet potato tot good onion ring perfection close,1,19,8
chef generous time even came around twice take picture,1,19,9
owner used work nobu place really similar half price,1,17,9
google mediocre imagine smashburger pop,0,9,5
sushi lover avoid place mean,0,10,5
plantain worst ever tasted,0,8,4
great place highly recommend,1,9,4
gave star giving star,1,13,4
staff spends time talking,0,10,4
dessert panna cotta amazing,1,5,4
good food great atmosphere,1,5,4
price reasonable flavor spot sauce home made slaw drenched mayo,1,21,10
decor nice piano music soundtrack pleasant,1,11,6
steak amazing rge fillet relleno best seafood plate ever,1,15,9
good food good service,1,6,4
sergeant pepper beef sandwich auju sauce excellent sandwich well,1,14,9
hawaiian breeze mango magic pineapple delight smoothy tried far good,1,19,10
went lunch service slow,0,7,4
much say place walked expected amazing quickly disappointed,0,24,8
needle say never back,0,10,4
anyways food definitely filling price pay expect,0,19,7
chip came dripping grease mostly edible,0,13,6
really impressed strip steak,0,7,4
going since every meal awesome,1,11,5
server nice attentive serving staff,1,13,5
cashier friendly even brought food,1,12,5
work hospitality industry paradise valley refrained recommending cibo longer,0,17,9
service quick even go order like like,1,14,7
mean really get famous fish chip terrible,0,18,7
said mouth belly still quite pleased,1,10,6
loved grilled pizza reminded legit italian pizza,1,11,7
pro large seating area nice bar area great simple drink menu best brick oven pizza homemade dough,1,21,17
tonight elk filet special sucked,0,9,5
ordered old classic new dish going time sorely disappointed everything,0,21,10
cute quaint simple honest,1,4,4
chicken deliciously seasoned perfect fry outside moist chicken inside,1,19,9
food great always compliment chef,1,10,5
special thanks dylan recommendation order yummy tummy,1,18,7
great food awesome service,1,5,4
one nice thing added gratuity bill since party larger expect tip,1,28,11
fly apple juice fly,0,9,4
han nan chicken also tasty,1,8,5
food barely lukewarm must sitting waiting server bring u,0,21,9
ryan bar definitely one edinburgh establishment revisiting,0,11,7
overall like food service,1,8,4
also serve indian naan bread hummus spicy pine nut sauce world,1,21,11
probably never coming back recommend,0,8,5
friend pasta also bad barely touched,0,9,6
try airport experience tasty food speedy friendly service,1,14,8
love decor chinese calligraphy wall paper,1,10,6
restaurant clean family restaurant feel,1,13,5
sure long stood long enough begin feel awkwardly place,0,23,9
opened sandwich impressed good way,0,14,5
warm feeling service felt like guest special treat,1,18,8
extensive menu provides lot option breakfast,1,9,6
always order vegetarian menu dinner wide array option choose,1,19,9
watched price inflate portion get smaller management attitude grow rapidly,0,14,10
wonderful lil tapa ambience made feel warm fuzzy inside,1,14,9
got enjoy seafood salad fabulous vinegrette,1,11,6
wonton thin thick chewy almost melt mouth,1,13,7
level spicy perfect spice whelm soup,1,11,6
sat right time server get go fantastic,1,15,7
main thing enjoy crowd older crowd around mid,0,18,8
side town definitely spot hit,1,17,5
wait minute get drink longer get arepas,0,17,7
jalapeno bacon soooo good,1,6,4
service poor thats nice,0,8,4
food good service good price good,1,9,6
place clean food oh stale,0,11,5
chicken dish ok beef like shoe leather,0,11,7
one place phoenix would definately go back,1,16,7
close house low key non fancy affordable price good food,1,12,10
hot sour egg flower soup absolutely star,1,15,7
sashimi poor quality soggy tasteless,0,9,5
great time family dinner sunday night,1,9,6
food tasty say real traditional hunan style,0,15,7
flair bartender absolutely amazing,1,6,4
frozen margarita way sugary taste,0,10,5
nutshell restaraunt smell like combination dirty fish market sewer,0,19,9
join club get awesome offer via email,1,9,7
perfect someone like beer ice cold case even colder,1,16,9
bland flavorless good way describing barely tepid meat,0,13,8
chain fan beat place easily,0,11,5
many word say place everything pretty well,1,17,7
staff super nice quick even crazy crowd downtown jury lawyer court staff,1,21,12
great atmosphere friendly fast service,1,6,5
received pita huge lot meat thumb,1,21,6
paying hot dog fry look like came kid meal wienerschnitzel idea good meal,0,29,13
classic maine lobster roll fantastic,1,7,5
brother law work mall ate day guess sick night,0,22,9
good going review place twice hereas tribute place tribute event held last night,1,32,13
chip salsa really good salsa fresh,1,12,6
get inside impressed place,1,10,4
sad little vegetable overcooked,0,8,4
high hope place since burger cooked charcoal grill unfortunately taste fell flat way flat,0,24,14
could eat bruschetta day devine,1,10,5
single employee came see ok even needed water refill finally served u food,0,25,13
lastly mozzarella stick best thing ordered,1,11,6
first time ever came amazing experience still tell people awesome duck,1,21,11
server negligent need made u feel unwelcome would suggest place,0,20,10
place overpriced consistent boba really overpriced,0,14,6
seasonal fruit fresh white peach puree,1,8,6
kept getting worse worse officially done,0,11,6
love put food nice plastic container opposed cramming little paper takeout box,1,21,12
cr pe delicate thin moist,1,8,5
price think place would much rather gone,0,16,7
love sushi found kabuki priced hip service,0,14,7
favor stay away dish,0,10,4
one table thought food average worth wait,0,20,7
best service food ever maria server good friendly made day,1,17,10
paid bill tip felt server terrible job,0,17,7
never bland food surprised considering article read focused much spice flavor,0,23,11
food way overpriced portion fucking small,0,9,6
recently tried caballero back every week since,1,12,7
buck head really expect better food,0,10,6
food came good pace,1,8,4
ate twice last visit especially enjoyed salmon salad,1,14,8
could believe dirty oyster,0,9,4
fact going round star awesome,1,16,5
disbelief dish qualified worst version food ever tasted,0,17,8
bad day low tolerance rude customer service people job nice polite wash dish otherwise,0,27,14
flavorful perfect amount heat,1,10,4
price reasonable service great,1,9,4
wife hated meal coconut shrimp friend really enjoy meal either,0,17,10
fella got huevos rancheros look appealing,0,12,6
went happy hour great list wine,1,9,6
may say buffet pricey think get pay place getting quite lot,1,25,11
place pretty good nice little vibe restaurant,1,11,7
talk great customer service course back,1,11,6
hot dish hot cold dish close room temp watched staff prepare food bare hand glove everything deep fried oil,0,26,19
plethora salad sandwich everything tried get seal approval,1,17,8
place awesome want something light healthy summer,1,14,7
sushi strip place go,1,11,4
service great even manager came helped table,1,13,7
feel dining room college cooking course high class dining service slow best,0,22,12
started review two star editing give one,0,16,7
worst sushi ever eat besides costco,0,11,6
excellent restaurant highlighted great service unique menu beautiful setting,1,17,9
boyfriend sat bar completely delightful experience,1,14,6
better bagel grocery store,0,8,4
love owner chef one authentic japanese cool dude,1,10,8
burger good pizza used amazing doughy flavorless,0,17,7
found six inch long piece wire salsa,0,12,7
service terrible food mediocre,0,7,4
ordered albondigas soup warm tasted like tomato soup frozen meatball,0,18,10
three different occasion asked well done medium well three time got bloodiest piece meat plate,0,26,15
two bite refused eat anymore,0,10,5
minute wait got table,0,8,4
seriously killer hot chai latte,1,5,5
allergy warning menu waitress absolutely clue meal contain peanut,0,23,9
boyfriend tried mediterranean chicken salad fell love,1,11,7
rotating beer tap also highlight place,1,12,6
pricing bit concern mellow mushroom,0,10,5
stay vega must get breakfast least,1,13,6
want first say server great perfect service,1,14,7
highly unprofessional rude loyal patron,0,8,5
regular toasted bread equally satisfying occasional pat butter mmmm,1,14,9
buffet bellagio far anticipated,0,10,4
also feel like chip bought made house,0,12,7
disappointing dinner went elsewhere dessert,0,9,5
new fav vega buffet spot,1,8,5
seriously believe owner many unexperienced employee running around like chicken head cut,0,24,12
felt insulted disrespected could talk judge another human like,0,16,9
call steakhouse properly cook steak understand,0,17,6
thing crazy guacamole like pur ed,0,17,6
really nothing postinos hope experience better,0,13,6
got food poisoning buffet,0,8,4
brought fresh batch fry thinking yay something warm,0,16,8
hilarious yummy christmas eve dinner remember biggest fail entire trip u,0,22,11
needle say going back anytime soon,0,10,6
every time eat see caring teamwork professional degree,1,13,8
ri style calamari joke,0,7,4
however much garlic fondue barely edible,0,13,6
could barely stomach meal complain business lunch,0,15,7
bad lost heart finish,0,12,4
also took forever bring u check asked,0,15,7
one make scene restaurant get definitely lost love one,0,21,9
food par denny say good,0,16,5
want wait mediocre food downright terrible service place,0,19,8
place fairly clean food simply worth,0,12,6
sangria half glass wine full ridiculous,0,14,6
meat pretty dry sliced brisket pulled pork,0,13,7
building seems pretty neat bathroom pretty trippy eat,0,17,8
probably hurry go back,0,8,4
slow seating even reservation,0,7,4
cashew cream sauce bland vegetable undercooked,0,11,6
chipolte ranch dipping sause tasteless seemed thin watered heat,0,15,9
bit sweet really spicy enough lacked flavor,0,13,7
place horrible way overpriced,0,7,4
maybe vegetarian fare twice thought average best,0,18,7
table outside also dirty lot time worker always friendly helpful menu,0,23,11
ambiance feel like buffet setting douchey indoor garden tea biscuit,0,21,10
fry hot neither burger,0,10,4
food came disappointment ensued,0,7,4
husband said rude even apologize bad food anything,0,17,8
reason eat would fill night binge drinking get carbs stomach,0,25,10
insult profound deuchebaggery go outside smoke break serving solidify,0,18,9
someone order two taco think may part customer service ask combo ala cart,0,24,13
quite disappointed although blame need placed door,0,14,7
rave review wait eat disappointment,0,13,5
del taco pretty nasty avoided possible,0,11,6
hard make decent hamburger,0,8,4
gotten much better service pizza place next door service received restaurant,0,21,11
know big deal place back ya,0,17,6
immediately said wanted talk manager want talk guy shot fireball behind bar,0,29,12
unfortunately set u disapppointment entree,0,11,5
server suck wait correction server heimer sucked,0,9,7
happened next pretty putting,0,6,4
bad cause know family owned really wanted like place,0,15,9
vomited bathroom mid lunch,0,7,4
kept looking time soon become minute yet still food,0,17,9
place eat circumstance would ever return top list,0,23,8
started tuna sashimi brownish color obviously fresh,0,15,7
sure beat nacho movie would expect little bit coming restaurant,0,21,10
ha long bay bit flop,0,12,5
problem charge sandwich bigger subway sub offer better amount vegetable,0,28,10
